Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
HDFCSENSEX.NS,XNSE:HDFCSENSEX,HDFCAMC-HDFCSENSEX,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCSILVER.NS,XNSE:HDFCSILVER,HDFCAMC-HDFCSILVER,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCSML250.NS,XNSE:HDFCSML250,HDFCAMC-HDFCSML250,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HEALTHADD.NS,XNSE:HEALTHADD,DSPAMC-HEALTHADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HEALTHIETF.NS,XNSE:HEALTHIETF,ICICIPRAMC-ICICIPHARM,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HEALTHY.NS,XNSE:HEALTHY,BIRLASLAMC-HEALTHY,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HNGSNGBEES.NS,XNSE:HNGSNGBEES,NIPINDETFHANGSENGBEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HSBCGOLD.NS,XNSE:HSBCGOLD,HSBCAMC - HSBCGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ICICIB22.NS,XNSE:ICICIB22,ICICIPRAMC-BHARATIWIN,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
INFRA.NS,XNSE:INFRA,MIRAEAMC - INFRA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
INFRABEES.NS,XNSE:INFRABEES,NIPINDETFINFRABEES,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
INFRAIETF.NS,XNSE:INFRAIETF,ICICIPRAMC-ICICIINFRA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
IT.NS,XNSE:IT,KOTAKMAMC-KOTAKIT,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITADD.NS,XNSE:ITADD,DSPAMC - DSPIT,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITBEES.NS,XNSE:ITBEES,NIPINDETFIT,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITBETA.NS,XNSE:ITBETA,UTIAMC -ITBETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITETF.NS,XNSE:ITETF,MIRAEAMC-ITETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITIETF.NS,XNSE:ITIETF,ICICIPRAMC-ICICITECH,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
